user,user_url,comment_date,comment,course_time,star,like
努力_ing,www.icourse163.org/home.htm?userId=1136021578,2018/3/15,感觉讲的不错， 挺好的， 值得高评分。 ,6,5,41
曾经味道,www.icourse163.org/home.htm?userId=1136038054,2018/3/15,老师讲的很好，深入浅出，举例多，很实用，,6,5,41
欧阳春天,www.icourse163.org/home.htm?userId=1136037211,2018/3/15,"挺棒的，我可能作为一名计算机专业的学生，我要好好坚持下去……
",6,5,40
小伙稳住架,www.icourse163.org/home.htm?userId=1136036226,2018/3/15,老师讲得很棒，语速措辞都很专业。,6,5,40
幸运星ykt1515850854694,www.icourse163.org/home.htm?userId=1035678207,2018/3/15,课程通俗易懂，结构严谨，老师讲解清晰，效果很好！,6,5,40
touer22,www.icourse163.org/home.htm?userId=1301696,2018/3/15,很棒~很细致~,6,5,40
好好学习好好爱她,www.icourse163.org/home.htm?userId=1035993121,2018/3/15,老师讲的很好！！！很耐心,6,5,39
枫痕cheer,www.icourse163.org/home.htm?userId=1031295484,2018/3/15,这个课程挺适合入门的教学，从无到有，同时也对各种概念讲解的比较透彻。,6,4,39
茂茂啊茂茂,www.icourse163.org/home.htm?userId=1015844895,2018/3/15,之前学过一点C语言，再看Python真的觉得设计的很巧妙，课程设计也是由浅入深，给人一种打开了新世界的大门的感觉,6,5,39
花海寻梅,www.icourse163.org/home.htm?userId=1136033767,2018/3/15,花了一些时间听完了对PYTHON 的介绍，这课程感觉听 的 的太值了！谢谢嵩老师！支持！赞！！,6,5,38
陈茂银,www.icourse163.org/home.htm?userId=1136027922,2018/3/15,简单通俗，很容易上手。感觉不错，下次有课还会来听。,6,5,38
小怪乖乖,www.icourse163.org/home.htm?userId=1136028578,2018/3/15,一口气全听完了，很少听课能听的这么过瘾！！！,6,5,38
蔡龙清,www.icourse163.org/home.htm?userId=1136029387,2018/3/15,就是太少了，不过都是精华。希望越来越多的课程出现。,6,5,38
因为我们太贪玩,www.icourse163.org/home.htm?userId=1031012677,2018/3/15,有趣，老师的视频用心了,6,4,38
浮生若梦ykt,www.icourse163.org/home.htm?userId=1019762471,2018/3/15,"特别好！！！！
",6,5,38
mooc1505139152407,www.icourse163.org/home.htm?userId=1029807007,2018/3/15,非常适合编程小白,6,5,38
学习如吃西瓜,www.icourse163.org/home.htm?userId=1136038259,2018/3/15,行动十坚持确实比天赋更重要，在未来的日子里，愿自己的计算机编程能力 脱颖而出！,6,5,37
命运旅途,www.icourse163.org/home.htm?userId=1136038173,2018/3/15,相见恨晚的感觉。本人计算机专业，就是学的少，加油吧！,6,5,37
牛家小二,www.icourse163.org/home.htm?userId=1136033688,2018/3/15,"老师講的很好
很棒，对自己的英语提高有很大的信心",6,5,37
没有太阳照样耀眼,www.icourse163.org/home.htm?userId=1136033208,2018/3/15,反复多看几次，会有收获的,6,5,37
H2Y,www.icourse163.org/home.htm?userId=12910141,2018/3/15,学习流行技术,6,5,37
蹴渍之螋,www.icourse163.org/home.htm?userId=1136029472,2018/3/15,觉得挺有趣哈！,6,5,37
五月儿童节,www.icourse163.org/home.htm?userId=1020268528,2018/3/15,老师很儒雅，课程很贴近初学者的思维，很喜欢,6,5,37
why的mooc,www.icourse163.org/home.htm?userId=4566328,2018/3/15,我觉得内容比较新的，讲课的语调和语速都很好。,6,5,37
老花栗鼠,www.icourse163.org/home.htm?userId=1023824168,2018/3/15,简单好学！,6,5,37
一米内上帝mooc,www.icourse163.org/home.htm?userId=1135617214,2018/3/15,课程简洁，学习效率很高，感觉入手很容易！谢谢老师！,6,5,37
五十岚mooc,www.icourse163.org/home.htm?userId=1018540462,2018/3/15,教学系统设计得很完善。,6,5,36
mooc1516003360351,www.icourse163.org/home.htm?userId=1035726700,2018/3/15,作为零基础的学员太说，信息量还是觉得大了点。,6,5,35
那微笑阳光,www.icourse163.org/home.htm?userId=1026345117,2018/2/8,黄天羽老师讲课完全是在应付，代码讲解遗漏好多重要的细节，导致听课时必须暂停，自己去查询某些语句的作用，完全没考虑听课学生的接受程度，希望以后能够改正,5,3,33
因为计算机,www.icourse163.org/home.htm?userId=1136038359,2018/3/15,很感谢！遇到嵩老师是好运气，我现在按你的方法学习PYTHON ，因此重拾的信心（这是最重要的）。 羞愧地说，我本来就是计算机专业的学生，但在大学期间，我那时是越来越讨厌编程。 也许是本来就有基础，现在按嵩老师的方法，感觉事半功倍。谢谢嵩老师的分享,6,5,32
lululutong1221,www.icourse163.org/home.htm?userId=1135152641,2018/3/15,老师讲的很细致,6,5,29
旧殇mooc6,www.icourse163.org/home.htm?userId=1137135828,2018/3/15,老师讲的很细致,6,5,28
坚强的mooc,www.icourse163.org/home.htm?userId=5683533,2018/3/15,很满意，有视频就满意了，更何况还分了小目录！,6,5,28
凹凸曼喝咖啡,www.icourse163.org/home.htm?userId=5127437,2018/3/14,这是一个很棒的python入门课程，能够面对0基础的很难得的开课思维。,6,5,28
Eik1364,www.icourse163.org/home.htm?userId=1136978181,2018/3/14,每个教学视频都非常短，适合把零散时间充分利用起来。老师教课也很仔细，言简意赅的表达了相关概念。,6,5,27
mooc1516489684080,www.icourse163.org/home.htm?userId=1036007366,2018/3/15,刚开始学习，零基础，希望能通过课程发现一个新世界。,6,5,25
DaFee_Hu,www.icourse163.org/home.htm?userId=1022802802,2018/3/14,很基础，讲得很好，有条理。,5,5,25
高高ykt1459648630839,www.icourse163.org/home.htm?userId=1016101143,2018/3/14,嵩天老师讲 的挺好的，适合初学者,6,5,24
学海无涯23,www.icourse163.org/home.htm?userId=1136033938,2018/3/15,听了嵩老师的前半部分课程后，编程水平可能不会有明显提高，但是对PYTHON的学习已经不再恐惧了。嵩老师推荐的学习方法和学习教材我个人感觉超级好（最起码比学校的课本要好）。常感谢嵩老师，不论我在以后在编程上是否能学有所成，学有所用。,6,5,20
zmkejian126com,www.icourse163.org/home.htm?userId=1914357,2018/3/14,课程安排的很好，不知不觉中就学完了。,6,5,20
只学喜欢的课程,www.icourse163.org/home.htm?userId=1136038338,2018/3/15,重在坚持，方法论给了，实践还是要自己去学习，苦于不能坚持，老师的方法没毛病。实践是检验学习的基础,6,5,19
一叶蔚蓝,www.icourse163.org/home.htm?userId=1035771819,2018/3/15,课程很好，带来了启发,6,5,19
Szerok,www.icourse163.org/home.htm?userId=1136325660,2018/3/14,很喜欢现在的课程，另老师的声音好听,6,5,19
溺水的鳖,www.icourse163.org/home.htm?userId=1021706595,2018/3/14,目前见过质量最高的Python教学视频。,6,5,18
wuyuehuaxiang,www.icourse163.org/home.htm?userId=636727,2018/3/14,实时性强，随到随学，选择自己喜欢的老师！,6,5,18
面朝大海春暖心开,www.icourse163.org/home.htm?userId=1137120398,2018/3/14,学习到了初步的Python知识，继续学，希望学到更多。,6,5,18
曹雨姝,www.icourse163.org/home.htm?userId=1136030333,2018/3/14,摩尔定律讲的内容 挺有意思 ，老师分析的不错·！ 厉害~！赞一个,6,5,18
奋斗的人生34,www.icourse163.org/home.htm?userId=1136033928,2018/3/15,嵩老师的教程真是超级好，那个节奏掌握没有话说，一秒都不多余，好效率，方法也是超级好，打算实践一下,6,5,17
自由小D子,www.icourse163.org/home.htm?userId=1026326593,2018/3/15,非常好的。。,6,4,17
青春的烦恼,www.icourse163.org/home.htm?userId=1136036602,2018/3/15,看了视频，觉得用嵩老师教的方法，一定能学好！加油！,6,5,16
程政mooc1,www.icourse163.org/home.htm?userId=1033698756,2018/3/14,第一次赶上直播，第二次体听课，园林专业生，希望感受真正的理科，哈哈哈哈,6,5,16
zmbcen163com,www.icourse163.org/home.htm?userId=6353164,2018/2/24,"课程不能讲究循序渐进，看得出来被删减了很多，不知道为什么要删减内容，就是为了让课程时间更少？对于学生，更少的课程时间换来的是课下自己的更多倍时间的学习，得不偿失,两个女老师读课件读的很好，读课件给5分！",5,1,16
王强啊,www.icourse163.org/home.htm?userId=1022011984,2018/3/14,666666,6,5,15
书生牛犊,www.icourse163.org/home.htm?userId=9540084,2018/2/21,"我有一个小想法：在教授这类编程语言的课程的时候。教课视频可否不要沦为课件.PDF的MP4版。不要花那么多的精力宣读一些概念。
请老师在视频里多录一些敲代码的过程、故意敲错一些代码、引导学生识别编译器给出的错误信息、以及如何快速定位修正。

我学编程遇到的最大问题就是照抄都能抄错，然后还不明所以，找半天找不出来哪错了。

当然了，课件都是精华，清晰指出了Python的一些特性，如果我能熟练掌握Python的一些常用语法及基础特性，这些课件就变得非常有用了。
",5,3,14
ryan571,www.icourse163.org/home.htm?userId=1017894361,2018/2/26,这门课基本上就是简单地在课件里罗列了一堆functions和samples,5,3,13
善初大宝贝,www.icourse163.org/home.htm?userId=1834454,2018/2/5,评分有问题,5,2,12
昼青,www.icourse163.org/home.htm?userId=11040342,2018/2/28,"没遇上开课，课程结束后跟着课件看的，目前只看了两周，说说想法：
比起上新课感觉更像期末考试前梳理知识点的复习课，“同学们这一部分要考的啊回去好好复习”的那种",5,3,11
BrotherTao,www.icourse163.org/home.htm?userId=1135623438,2018/3/14,"老师讲的很仔细，视频做得很好，整体有美感！老师小心翼翼的解说和宽慰让人不那么畏惧编程的难度，体现了对新手的关照。谢谢老师们！
但是有些小小的建议：
1.视频有些只有6s的开篇却没有内容，如环境配置章节的mac，Linux篇；
2.希望老师列举一下新手常犯的错误演示给我们并传授解决之道，因为有时候自己出现错误，有错误提示却不知道错在哪里，真的很恐慌。希望课题组采纳，不胜感激！",6,5,8
我心飞翔mooc127,www.icourse163.org/home.htm?userId=1035877240,2018/3/14,老师讲得挺不错的,6,5,7
爱学习的小delicacy,www.icourse163.org/home.htm?userId=1145603029,2019/10/16,强烈建议老师一个课程的时间拉长一点。讲一小会儿就要进行下一个课程视频了，体验感极差。,10,3,6
gzhu-1808220009-张宏维,www.icourse163.org/home.htm?userId=1388322613,2019/8/8,北理嵩天老师的python课，浙大翁恺老师的C与Java课都挺好的，他们都是由浅入深的将编程将给学生，让学生最开始不会畏惧编程从而觉得编程很难（虽然是有点难吧），让所听他们讲课的学生几乎都能听懂，当之无愧的好老师。他们知道如何将自己的编程知识如何教给并教会学生，希望慕课上能多一些这样的好老师，现实教学中也能多一些这样的好老师，而不是忙于科研与职称，不研究教学手段与方法，这样即使自身具有很高的知识容量，可能懂的学生却没有多少，所谓老师，最初的目的不就是教书育...,9,5,6
guangyan02,www.icourse163.org/home.htm?userId=7721200,2018/3/14,课程略显枯燥，视频时间太短，做成一个大视频更方便观看。,6,3,6
暗星2018,www.icourse163.org/home.htm?userId=1136029355,2018/3/14,自己太笨，视频没有解说太多，实操跟不上节奏。再多看几遍。老师讲的细致，我还是很喜欢这位老师的。,6,5,6
yunh2099,www.icourse163.org/home.htm?userId=1028971,2019/9/26,课程组织合理，讲解通俗好懂，嵩天老师才高八斗，技术融通，为他和团队点赞,10,5,5
mooc1521009520733,www.icourse163.org/home.htm?userId=1137139905,2018/3/15,早就想学学Python，偶然机会找到MOOC课程，刚看了一次，感觉很好！,6,5,5
我是小学弟3432,www.icourse163.org/home.htm?userId=1136035942,2018/3/15,啊啊 这个课程的学习 习题的方法，适合了不同需要的人，真是太棒了，爱您。,6,5,5
zjaibo,www.icourse163.org/home.htm?userId=2270032,2019/10/9,那个说给五分都是北理工的托和脑子坏掉的人的人是哪个？我看你才是其他学校来的托吧？明明是讲的很好你却这么有侮辱性未免有点太让人愤怒了吧？各位同学同意一定要赞！,10,5,4
回执梦魇丶,www.icourse163.org/home.htm?userId=1148549099,2019/11/23,不愧是国家精品课程，看了很多Python入门书，相比而言，不如看嵩天老师讲析几个代码示例呢！,10,5,3
mooc1517172590697,www.icourse163.org/home.htm?userId=1135105419,2018/3/14,非常棒哦，只是在实操当中，比如进入python123.io完成作业时，总是会出现一些bug，比如本次，刚完成练习部分提交后，作业已经显示：已提交，分数为0，并且不再能提交。另外视频中有些只有6秒，不知是确实过度视频还是漏了一些内容。略有遗憾，但还是很感谢哈,6,4,3
Camouflage_,www.icourse163.org/home.htm?userId=1021687938,2018/3/14,很好的查漏补缺,6,5,3
兰燕东,www.icourse163.org/home.htm?userId=1028259209,2018/3/14,讲的比较详细，适合新手,6,4,3
xybb5233,www.icourse163.org/home.htm?userId=1016502654,2019/12/6,"我是小学科学教师兼科技辅导员，报着想自己学并且带学生一起学Python的想法。先是买了一堆各种教程，试看了许多视频教程，都没有合适的。偶然间试试MOOC上有没有教程。上来就没走了。现在正带领9个小学生，奋斗在第六周课程上。
忠实的评价：这个课程是让小学五年级学生都能听懂的课程。体系最科学，实例最具代表性，贯穿的是整个Python基础。
不过由于加入学习比较晚，加上带着学生学习，很多章节我都要反复听n遍。我可能不能按时完成，获得证书了。",10,5,2
mooc7681412480219378,www.icourse163.org/home.htm?userId=1405843086,2019/11/20,授课方式新颖，这份课程很让人期待，有种耳目一新的感觉,10,5,2
缘起无生,www.icourse163.org/home.htm?userId=1396139886,2019/11/16,非常感谢老师的讲解，我是一个工作多年的在职人员，以前一向是自学编程的，听嵩天老师讲课，有一种一下就明白了的感觉，好老师，必须给一个赞，五星不可少，谢谢老师。,10,5,2
ykt61247568476526608,www.icourse163.org/home.htm?userId=1390445582,2019/11/14,讲的很好，很仔细，很简单也很有逻辑,10,5,2
mooc55977827164499986,www.icourse163.org/home.htm?userId=1387445079,2019/10/28,不错，课程很好，就是每集太短了，不过瘾，可以考虑时长稍微长一点，这样用户体验可能会更好,10,5,2
高级醇,www.icourse163.org/home.htm?userId=1385088440,2019/8/6,给想要学习Python语言基础的小伙伴强烈推荐这门课程，老师设计的循序渐进的授课方式很好。通过这门课可以非常系统地学习这门强大的编程语言。,9,5,2
dilantor,www.icourse163.org/home.htm?userId=1390851768,2019/7/17,非常感谢嵩老师和各位老师，精心准备这么好的课程，还有自助作业和测验检验自己学习的成果，非常方便！每节课都很用心，老师用很巧妙的方法提起了自己的好奇心， 这种“想学的冲动”特别难得！没本事考上北京理工大学，能免费学习到这么好的课程！非常感激！,9,5,2
yanglx1124,www.icourse163.org/home.htm?userId=1018925659,2019/6/3,"一方面，感谢老师免费提供这样一门课程供广大学子/就业人士学习，授课质量也在水平内，同时结合python123给了大家很多练习的机会。
另一方面，不知道之前是不是也存在这样的情况，作业出现烂尾，严重拖期，也没有任何正式说明，让人有点失望。",8,3,2
ITer_,www.icourse163.org/home.htm?userId=1147953866,2019/5/26,通过各种实例分析，有效帮助理解代码用法，讲解清晰，例题合理,8,5,2
mooc81146404779615485,www.icourse163.org/home.htm?userId=1388307795,2019/5/8,"虽然还没有学完，每天下班和早上早早起来学，进度还是很慢，感觉时间不够用啊…。
996的上班，做着重复单调的工作，知道慕课有python，突然感觉世界开始明亮，充满了希望。
嵩老师的课我都想学，十年前读大学的时候还没有这么好的平台可以学到自己喜欢的课程，感谢嵩老师，感谢慕课平台。",8,5,2
王尚坤,www.icourse163.org/home.htm?userId=2590437,2019/5/8,这是我听过最好的慕课  没有之一！ 超级赞！,8,5,2
一米七六八,www.icourse163.org/home.htm?userId=1538681,2019/5/5,好的事物就会让你产生“后悔没有早点打开！”的想法。本来只是由于某方面需求随便打开看看，没想到三天就学完了，自己也对Python有了初步了解与兴趣。其实这门课程已经在我的学习计划中搁置了半年了，希望大家可以及时利用现在丰富的资源，而不是像我一样当一个资源收藏者。,8,5,2
丫uppie,www.icourse163.org/home.htm?userId=1146356068,2019/4/27,吹爆嵩天老师，讲的详细，思路清晰，例子都很有趣，受到了很多启发，希望能学好python，然后进阶机械学习,8,5,2
莫失莫忘v,www.icourse163.org/home.htm?userId=1387388462,2019/3/28,"for i in range(999):
    print(""很棒!\n学会了Python语言!\n谢谢老师！"")",8,5,2
omh_huazhixu,www.icourse163.org/home.htm?userId=2771705,2019/3/27,老师教的很好，课程虽然精度慢，但是仿佛回到了大学，读书的时候能听到这样的课就好了。,8,5,2
小杨-同学,www.icourse163.org/home.htm?userId=1385041795,2019/2/23,不用花钱就可以和名师学习，那是有多开心！重点，老师讲的很认真，也很耐心，逻辑性强，只要用心好好学习，都是很清楚明了的。,7,5,2
ykt1523023658528,www.icourse163.org/home.htm?userId=1138677727,2019/2/22,讲的真的非常棒！,8,5,2
学余物1902蔡磊,www.icourse163.org/home.htm?userId=1020550733,2019/1/7,我是第二次听这门课，第一次初学，也没有认真下功夫，因而没有过。然后自己自学了一段时间，期间编写了100个左右的python小程序，有点感觉后，想系统的学习一下python于是又选了嵩老师这门课。给我的感受是，相比上一次，这一次的改动比较大，前后课程的联系更加紧密，层层深入，课前小结和课后总结环节带着我们去巩固复习；实例选的恰到好处，我想只要认真努力，学起来并不是那么的费劲。加油，加油,7,5,2
慕粉阿龙,www.icourse163.org/home.htm?userId=1021841273,2018/6/8,分享一个学习编程特别好的视频教学网站 www.cxyschool.com  （用IE浏览器打开，其他浏览器不好使）,6,5,2
虎哥study,www.icourse163.org/home.htm?userId=6859212,2018/3/15,缺少书面可下载课件,6,2,2
橙翼,www.icourse163.org/home.htm?userId=1014348138,2018/3/14,反反复复学习，反反复复练习。零基础，只能这样。,6,5,2
Ivanmooc261,www.icourse163.org/home.htm?userId=1406103356,2020/2/13,嵩天老师讲解的很仔细，也很清晰易懂，很适合初学者。,10,4,1
CHICHI吃mooc11,www.icourse163.org/home.htm?userId=1409398503,2020/2/8,老师怎么5期以前的视频看不见了。,11,5,1
tennou,www.icourse163.org/home.htm?userId=1023874893,2020/2/6,有c语言基础，学起来还是挺轻松的，1.5倍速比较舒服。,10,5,1
ligf2008,www.icourse163.org/home.htm?userId=1405893219,2020/2/2,都非常好。如果有所讲知识的汇总就更好了！,10,5,1
小祝mooc4,www.icourse163.org/home.htm?userId=1399245289,2020/2/2,要记得东西略多，但不像c  一样什么都要自己写，嵩老师也讲的也极好，二倍速三天看完，冲冲冲！,10,5,1
BIT1120193398涂皓博1907,www.icourse163.org/home.htm?userId=1399358189,2020/1/20,很好很好！非常有帮助！,10,5,1
m187029679082163com,www.icourse163.org/home.htm?userId=3463262,2020/1/15,深入浅出，非常接地气，非常好用，非常好学！,10,5,1
JackXie24,www.icourse163.org/home.htm?userId=1410209684,2020/1/14,"这是我见过讲的最通俗易懂，由浅入深的python课程，嵩天老师太赞了！！！
希望不要关闭课程啊，有很多小伙伴在开课时间之外学习呢~",10,5,1
梦忆mooc40,www.icourse163.org/home.htm?userId=1406901351,2020/1/5,课程很好，我会更加努力,10,5,1
如期而至1573,www.icourse163.org/home.htm?userId=1031518934,2020/1/3,课程安排紧凑合理，收获颇多。,10,5,1
hit1160400309,www.icourse163.org/home.htm?userId=8028628,2019/12/30,感谢老师，外专业小白收获很大，特来评价，谢谢嵩天老师。,10,5,1
今夕清欢,www.icourse163.org/home.htm?userId=1023457603,2019/12/28,很棒的python入门课程，有很多有趣的案例,10,5,1
尐犳乑璢,www.icourse163.org/home.htm?userId=1402379091,2019/12/24,讲得真的很一般。,10,1,1
derryck,www.icourse163.org/home.htm?userId=1396479760,2019/12/23,作为小白入门课实属精品，学习该课程能够对python的基础语法有了基本的掌握。希望老师添加关于class“类”的这一部分的内容，发现课程缺少这部分。,10,5,1
廖德,www.icourse163.org/home.htm?userId=1029774637,2019/12/15,很不错的课程，超级棒,10,5,1
法学20180052郭雯婧,www.icourse163.org/home.htm?userId=1141922334,2019/12/13,超级好的一门课程收获很多,10,4,1
笑ykt1499761613365,www.icourse163.org/home.htm?userId=1028277673,2019/12/4,感觉上手很快容易懂,10,4,1
Liuyx0214,www.icourse163.org/home.htm?userId=1403074461,2019/11/24,有基础知识，有实例操作，还有测评，老师讲解语速度也合适，非常好，期待更高阶的讲解。,10,4,1
怪兽Turtle,www.icourse163.org/home.htm?userId=1138835150,2019/11/21,超级赞的老师和幕后团队老师们,10,5,1
布衣老农,www.icourse163.org/home.htm?userId=1033197659,2019/11/15,我是老年人，听得懂但记不住！,10,2,1
绝世小可爱,www.icourse163.org/home.htm?userId=1148820051,2019/11/10,"嵩老师好帅
",10,5,1
木头疙瘩发光,www.icourse163.org/home.htm?userId=1399606083,2019/10/30,循序渐进，讲的很详细，便于自学，效果非常好。,10,5,1
